energy,liveness,speechiness,danceability,valence,uri
0.898,0.159,0.289,0.644,0.541,spotify:track:0P3k6Jipqv1UWX0a4GmUuj
0.593,0.0455,0.341,0.817,0.711,spotify:track:6VpyfMRlXPpOydHl69oKgq
0.928,0.0708,0.128,0.805,0.794,spotify:track:6zMkNCS7Cp4ssCU55XTMC6
0.64,0.131,0.231,0.829,0.848,spotify:track:5rwdmpN5eMWIIwK4R96vv1
0.465,0.363,0.434,0.776,0.694,spotify:track:0WhDotK0QXigmsrlw0DxKK
0.777,0.335,0.0593,0.834,0.865,spotify:track:1OUPXna2MCgAt3VNmXJBtg
0.622,0.0527,0.23,0.869,0.887,spotify:track:78Q2gghkt8iLJ7J0Uc4QYb
0.972,0.198,0.319,0.716,0.602,spotify:track:1QqIcxyTz2G7I31wcrnERf
0.76,0.169,0.0438,0.785,0.498,spotify:track:1HEr5uCRyuuLlVCOB1RiTE
0.772,0.0435,0.0463,0.734,0.75,spotify:track:7jitFEr94DKj5laJuQzaK8
0.694,0.117,0.0261,0.62,0.631,spotify:track:6MhQepBa5fq6GAeOKBlUd2
0.572,0.125,0.0304,0.658,0.741,spotify:track:5U28PY9MekLyCBYtLHGQpe
0.714,0.116,0.244,0.574,0.434,spotify:track:235BOGYon3gz23rKrtNwle
0.458,0.134,0.031,0.685,0.159,spotify:track:0ctRDZD6Nk8z8NtmoWwcC8
0.614,0.093,0.0532,0.641,0.727,spotify:track:1qCLx3nX25NuhfPjM5E1qV
0.588,0.335,0.0314,0.772,0.668,spotify:track:4owo0j5bw45IqiHxsTzcd6
0.307,0.131,0.0332,0.747,0.323,spotify:track:0wHLjfLyc26xILjHVMGIHN
0.302,0.112,0.0379,0.652,0.234,spotify:track:06XSmh92M0FIYNGC4Ss0CX
0.499,0.164,0.122,0.748,0.686,spotify:track:228vRHzGfQh47EfLjuY1Yr
0.815,0.0779,0.0608,0.933,0.91,spotify:track:7g9l2KZ1IsxJReWQeMzqX2
0.504,0.0681,0.0994,0.694,0.674,spotify:track:7ppLcVgxpoWAhAa2c0CN3b
0.962,0.164,0.0725,0.682,0.962,spotify:track:7BH7NUAZcgL24DXcWZpkeG
0.856,0.397,0.0562,0.723,0.688,spotify:track:6X0XdIcgwfVa9orJnDMQB0
0.805,0.277,0.0898,0.891,0.967,spotify:track:7G2XZhDNHo7SSDWSVxC0UT
0.793,0.0952,0.0842,0.794,0.677,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
0.796,0.0948,0.122,0.654,0.491,spotify:track:2eAAEa8pxKF7My0EO4rFgR
0.361,0.0978,0.404,0.65,0.844,spotify:track:0IQCOAw9ZAI6WnXIrl481F
0.599,0.0775,0.149,0.828,0.478,spotify:track:3Hb9kUdm4yf839Fle4RIdT
0.734,0.0657,0.116,0.83,0.622,spotify:track:3JjHRSSvw4JttVKb7UTz62
0.902,0.0349,0.159,0.852,0.965,spotify:track:1Wolb8MRcXR2IMMaELTRpE
0.934,0.0896,0.0916,0.848,0.971,spotify:track:4G1i3FrLYRge4Z2ubJiOW3
0.84,0.112,0.0785,0.722,0.851,spotify:track:3Uq45ipGutypFPmETfaoaH
0.735,0.0648,0.0938,0.687,0.942,spotify:track:0A1hoNreyqHi1flplxMyQr
0.633,0.0775,0.0708,0.84,0.685,spotify:track:15nSPIvq0OlUjOizpinwgH
0.695,0.0734,0.0894,0.777,0.652,spotify:track:2SC14LGDbRWRlyLg9Wupa0
0.721,0.101,0.514,0.705,0.574,spotify:track:2H8ETIUEoN9YMf56X66bxd
0.723,0.184,0.0574,0.815,0.896,spotify:track:29dRTbLTxRaSl63DIzbjvl
0.845,0.122,0.19,0.663,0.757,spotify:track:47zBTlbsiXs9ooyPo7Z7VT
0.619,0.113,0.102,0.878,0.639,spotify:track:2YpeDb67231RjR0MgVLzsG
0.854,0.124,0.463,0.596,0.152,spotify:track:55S2PQgSMYAhgoTCcGCDfw
0.593,0.123,0.0526,0.745,0.17,spotify:track:3Q3myFA7q4Op95DOpHplaY
0.715,0.156,0.0388,0.652,0.618,spotify:track:7my1wrfnHqssb3mtHEPWrI
0.961,0.11,0.063,0.393,0.304,spotify:track:7kReb8YckenWqompuyAEEz
0.664,0.0929,0.05,0.694,0.676,spotify:track:2S1LebN6AXXQqJolBxlWgO
0.555,0.348,0.189,0.948,0.87,spotify:track:3oENf5Bx6mbpZA3ytjvzpF
0.734,0.0482,0.126,0.863,0.876,spotify:track:0tPsiUXe3lALywkL6UfC8o
0.764,0.0622,0.0712,0.765,0.632,spotify:track:3WE814w0H0JmRyUoBtHvyC
0.655,0.263,0.0624,0.767,0.764,spotify:track:1DnJXw2RjFSCl40OVBrT1R
0.842,0.0842,0.313,0.806,0.686,spotify:track:1AW6DGrG3VpzPFsTRIRK79
0.696,0.14,0.3,0.829,0.908,spotify:track:69A8FtrWiY17SdCSj6t3y6
0.5,0.0334,0.256,0.9,0.936,spotify:track:4pypthppkLTxfINJNT1xo1
0.74,0.19,0.0973,0.838,0.894,spotify:track:5417uDTBziev3yymrDy2Z8
0.684,0.0942,0.119,0.819,0.959,spotify:track:5dKesZwp6deuhEeW8F1UEi
0.55,0.182,0.0587,0.832,0.881,spotify:track:5F8ffc8KWKNawllr5WsW0r
0.796,0.165,0.334,0.897,0.959,spotify:track:2nCKTSg3tWkfth4TSYBVzy
0.669,0.143,0.0595,0.759,0.661,spotify:track:2xb3PnT4FD9Tlt6GLTVu8P
0.665,0.108,0.173,0.814,0.326,spotify:track:563yuGweEqRVQtjfsDVRyK
0.484,0.198,0.117,0.901,0.766,spotify:track:5G3NKZf1Gqs7dQnY4Miliy
0.876,0.128,0.213,0.68,0.491,spotify:track:3Ot04s80MZBhiYP2wHo0is
0.684,0.0395,0.154,0.657,0.514,spotify:track:0WHijK1fmviBUdiSLTUNjm
0.333,0.0507,0.429,0.882,0.751,spotify:track:5k8f8RpgzdDu63j9avds0T
0.513,0.072,0.389,0.897,0.798,spotify:track:26NEo4Ar57Ph1daWpZX4ke
0.488,0.106,0.32,0.875,0.621,spotify:track:1HsxZYc9fjXxAlO55ONF6w
0.316,0.304,0.731,0.955,0.669,spotify:track:7FZ4np0Jv5avuKxCz9vXbH
0.41,0.0998,0.396,0.912,0.324,spotify:track:75ChZ9KWQmRY6vnegmawTM
0.47,0.437,0.456,0.694,0.657,spotify:track:7Kqxipl9ww73umAMTpejJ2
0.7,0.152,0.247,0.621,0.704,spotify:track:26WpOBpHiIMoBuMEIwtOCH
0.844,0.866,0.109,0.676,0.716,spotify:track:5EKHbW7mXcAR4hCyS3YXjb
0.426,0.11,0.128,0.716,0.434,spotify:track:7Gk5OrMYaMRtT2JmgJVAfk
0.822,0.261,0.259,0.693,0.791,spotify:track:5rNNZ6fVYxkhwqUfImVhU1
0.767,0.101,0.0715,0.789,0.637,spotify:track:7ziEXnwO7RIRguxSPXP2xs
0.961,0.151,0.275,0.626,0.751,spotify:track:0sIH5cIVjwWTa4fu4ArApK
0.688,0.154,0.194,0.804,0.44,spotify:track:5okMb8z9oICeTAmXdVmDOB
0.73,0.124,0.222,0.834,0.446,spotify:track:2xLMifQCjDGFmkHkpNLD9h
0.728,0.149,0.0484,0.841,0.43,spotify:track:6gBFPUFcJLzWGx4lenP6h2
0.387,0.136,0.412,0.931,0.376,spotify:track:4QIyEq7TcTdAcxjI2AFlAK
0.569,0.1,0.106,0.854,0.294,spotify:track:7ycWLEP1GsNjVvcjawXz3z
0.712,0.0677,0.112,0.758,0.795,spotify:track:2q4rjDy9WhaN3o9MvDbO21
0.584,0.0658,0.176,0.728,0.365,spotify:track:27oFpFktCq9JIXjJQRuv7a
0.621,0.0958,0.102,0.908,0.421,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
0.633,0.0926,0.0597,0.698,0.552,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
0.594,0.123,0.0752,0.703,0.475,spotify:track:6fTt0CH2t0mdeB2N9XFG5r
0.599,0.109,0.224,0.755,0.755,spotify:track:10Igtw8bSDyyFs7KIsKngZ
0.697,0.224,0.23,0.858,0.364,spotify:track:6AoYWCzsDls6c61Zp5qTuU
0.904,0.064,0.0618,0.579,0.681,spotify:track:1rqqCSm0Qe4I9rUvWncaom
0.867,0.458,0.103,0.491,0.602,spotify:track:76vMKwFtdDDCLcM6zXybjB
0.945,0.352,0.0359,0.568,0.82,spotify:track:6oaCwukRHvb3Q0eBfa9wiI
0.976,0.117,0.17,0.513,0.133,spotify:track:4vzPsfKiHxzOrc8HGxKbsr
0.943,0.0579,0.0337,0.523,0.766,spotify:track:4EchqUKQ3qAQuRNKmeIpnf
0.858,0.102,0.0729,0.393,0.56,spotify:track:04aAxqtGp5pv12UXAg4pkq
0.891,0.106,0.0623,0.459,0.588,spotify:track:3Zwu2K0Qa5sT6teCCHPShP
0.961,0.0854,0.154,0.622,0.449,spotify:track:0a7BloCiNzLDD9qSQHh5m7
0.868,0.671,0.0699,0.616,0.475,spotify:track:3Te8uLyit6X3ncNW8Fp3K2
0.924,0.537,0.064,0.558,0.567,spotify:track:2E43WFS4rRc09za2r2GmZl
0.815,0.12,0.14,0.566,0.672,spotify:track:5cY8y2XgOfkAh4kSWLFKkz
0.912,0.102,0.0707,0.572,0.606,spotify:track:3yZQk5PC52CCmT4ZaTIKvv
0.904,0.0433,0.0807,0.562,0.651,spotify:track:3px2rAPu74ltbkf9eZsZ8h
0.935,0.351,0.0817,0.359,0.658,spotify:track:6hqt1z34Oz0OZtSfy62OFD
0.914,0.065,0.142,0.402,0.626,spotify:track:4KacUpvbA3Mfo05gttTjhN
0.928,0.18,0.0411,0.579,0.882,spotify:track:1fJFuvU2ldmeAm5nFIHcPP
0.897,0.612,0.0488,0.434,0.684,spotify:track:2m1hi0nfMR9vdGC8UcrnwU
0.967,0.336,0.0995,0.533,0.782,spotify:track:4CbKVDZkYKdv69I4bCaKUq
0.957,0.0789,0.0741,0.64,0.692,spotify:track:2UREu1Y8CO4jXkbvqAtP7g
0.953,0.281,0.0704,0.445,0.475,spotify:track:2jfk3m8nq5IvB35s2xIs1O
0.984,0.712,0.0521,0.539,0.505,spotify:track:4pVbPbnMQbkffvKVGHI218
0.967,0.0677,0.0978,0.458,0.285,spotify:track:4WW0hLU9VQbQzJFTcMQQnV
0.742,0.11,0.0716,0.7,0.197,spotify:track:2oaK4JLVnmRGIO9ytBE1bt
0.981,0.386,0.06,0.58,0.861,spotify:track:1bx7OUl2UmAnA5oZkm9If7
0.619,0.113,0.102,0.878,0.639,spotify:track:6u7jPi22kF8CTQ3rb9DHE7
0.723,0.0852,0.0288,0.507,0.188,spotify:track:6lYkFYPKdyOSSZ5xHCJbYg
0.755,0.0786,0.0403,0.549,0.818,spotify:track:0oEweHsuQagFuqXct9UvBm
0.532,0.217,0.0323,0.548,0.405,spotify:track:5FVd6KXrgO9B3JPmC8OPst
0.969,0.346,0.0589,0.469,0.476,spotify:track:60rHc4AkLlP4XVSATvBb6K
0.963,0.253,0.141,0.542,0.374,spotify:track:0hKLGoFtQiMHUzmquTyzpS
0.723,0.123,0.175,0.42,0.288,spotify:track:6zAiRKvAMlXHxEtyO4yxIO
0.865,0.168,0.0286,0.545,0.543,spotify:track:6ZOBP3NvffbU4SZcrnt1k6
0.934,0.118,0.0602,0.529,0.282,spotify:track:3DelzIn0lPwX4PeOJk9zDF
0.78,0.081,0.128,0.776,0.666,spotify:track:0pqnGHJpmpxLKifKRmU6WP
0.611,0.0812,0.0409,0.704,0.22,spotify:track:2FY7b99s15jUprqC0M5NCT
0.734,0.337,0.0375,0.632,0.645,spotify:track:5TOYgNohZAFEPOtnchPhZS
0.828,0.122,0.0281,0.654,0.79,spotify:track:2x8evxqUlF0eRabbW2JBJd
0.758,0.303,0.0371,0.288,0.619,spotify:track:2AT8iROs4FQueDv2c8q2KE
0.889,0.36,0.0804,0.682,0.827,spotify:track:17tDv8WA8IhqE8qzuQn707
0.805,0.231,0.0608,0.607,0.232,spotify:track:1hBM2D1ULT3aeKuddSwPsK
0.428,0.148,0.0473,0.745,0.444,spotify:track:3SsWKfFrXaJrjjeAQOx3fh
0.303,0.115,0.355,0.95,0.421,spotify:track:0fDXd6UXam6MUuaK8lihwJ
0.836,0.116,0.0444,0.745,0.874,spotify:track:2AY1UAimvTqjJC8vDJsOyy
0.848,0.722,0.222,0.447,0.485,spotify:track:1kusepF3AacIEtUTYrw4GV
0.892,0.1,0.0809,0.485,0.576,spotify:track:1kd5qplldnxu16qcZXS3Yk
0.558,0.212,0.0895,0.579,0.506,spotify:track:7nzsY8vlnKdvGOEE0rjAXZ
0.785,0.404,0.0787,0.724,0.455,spotify:track:2UtFSMrJGQntS0h7W2a3r9
0.742,0.489,0.0574,0.704,0.828,spotify:track:332qxOWar5n9S2vnlIz2QW
0.735,0.134,0.0376,0.564,0.472,spotify:track:22qbXCgpdZB8IigAHCfqGb
0.831,0.075,0.0833,0.609,0.595,spotify:track:7ghdlBLePKIJRjPWA3aNgz
0.792,0.281,0.179,0.828,0.777,spotify:track:024Q1MI4uaYHF6j2Q2ZYgF
0.822,0.092,0.0542,0.421,0.751,spotify:track:7sziTn5nHwrWf4K7gISaaU
0.784,0.34,0.114,0.789,0.845,spotify:track:2PHjXf3wIaMbHuP7Rig3Ph
0.918,0.337,0.0345,0.631,0.943,spotify:track:6cvFwzez8ZbEWPTs5A0vAm
0.648,0.367,0.423,0.703,0.651,spotify:track:2iMExhesVankHz7PVnbwXR
0.615,0.116,0.0402,0.691,0.709,spotify:track:1M8rJIlT5HcGmvzZyssBlG
0.772,0.0529,0.182,0.849,0.837,spotify:track:35H4vSLJqBzrluxLeQIPrI
0.617,0.0857,0.15,0.739,0.77,spotify:track:0qhAP3o8x7KvwXzmyGvMh6
0.748,0.0516,0.113,0.765,0.677,spotify:track:1URqrx4RBAA75dWU1nsDMI
0.516,0.175,0.112,0.614,0.911,spotify:track:0Q4idwgYziQYhsUd0aabDU
0.78,0.322,0.197,0.74,0.538,spotify:track:2sYhw2UE3rjg0WFr2EMAAr
0.888,0.93,0.05,0.57,0.645,spotify:track:6DjKWVAqXUvMaAzO4U4CIo
0.508,0.399,0.0497,0.571,0.734,spotify:track:0lskTzcFFTmCCgLKRpGJdQ
0.726,0.877,0.0675,0.645,0.838,spotify:track:1oXFfHuBuasMQ9lnPSRvGU
0.725,0.953,0.0475,0.648,0.808,spotify:track:4Mnfug0sgaMw7g3wyZD4ss
0.889,0.584,0.0445,0.565,0.903,spotify:track:3rbpdn9eiqXotLoiuF2oTi
0.735,0.914,0.0345,0.611,0.832,spotify:track:6XOsXDAtgNGOPzyalU4zcT
0.766,0.953,0.0509,0.664,0.842,spotify:track:1XGwhMYkMaOQuBpiZI72IP
0.707,0.237,0.276,0.69,0.681,spotify:track:1HBrxfreCZDstJMYVzgRPM
0.913,0.37,0.0639,0.579,0.942,spotify:track:0rOQyLZJ9oASgtdoDZgrmK
0.793,0.958,0.0418,0.658,0.962,spotify:track:1zkx0x3aP43SHG3pt9cFRY
0.474,0.176,0.0716,0.753,0.41,spotify:track:56SkLjnwBXnAkHSf6jBPk3
0.862,0.852,0.045,0.658,0.889,spotify:track:1PWpeF2KQQzBjqkJPMqvpJ
0.5,0.344,0.0979,0.776,0.491,spotify:track:6i9ToXS6CAfjpp8veBklg1
0.58,0.045,0.178,0.631,0.635,spotify:track:2iodbBGZvKP6fz5kkAJ8Qx
0.594,0.299,0.267,0.672,0.567,spotify:track:1BoDeH9mShHMX9NWzKSz4a
0.721,0.0898,0.0449,0.643,0.317,spotify:track:3NkJNL3WqO1Lqc3uNDxvCN
0.621,0.0865,0.0825,0.857,0.668,spotify:track:4vUmTMuQqjdnvlZmAH61Qk
0.797,0.199,0.0624,0.669,0.552,spotify:track:4YhN72dRYL2Z3MsaKyT7rS
0.818,0.929,0.0349,0.658,0.939,spotify:track:2R6PIzBpnZPpAzXbGxAmqq
0.808,0.0822,0.0882,0.786,0.609,spotify:track:2ksOAxtIxY8yElEWw8RhgK
0.795,0.159,0.461,0.4,0.702,spotify:track:0Ryd8975WihbObpp5cPW1t
0.884,0.252,0.0309,0.631,0.897,spotify:track:6sDlpZzgUdI32kuO8ZHrAB
0.768,0.11,0.092,0.304,0.488,spotify:track:4ALkpFTkmqsCfSjc8wqtFz
0.83,0.412,0.045,0.629,0.326,spotify:track:3plVbeG0guKGOomaiqWA3x
0.471,0.152,0.0401,0.645,0.767,spotify:track:3uCg5JVHl2E6i8gFJxUjsp
0.573,0.324,0.0484,0.764,0.685,spotify:track:2ak79ho44RiDi9DFrqYgfq
0.782,0.156,0.0897,0.585,0.521,spotify:track:7A7s85p4VSLq3UirCux8HE
0.895,0.297,0.0575,0.669,0.576,spotify:track:1yAPglN5AGf7UoLK062ZYq
0.563,0.0553,0.0542,0.618,0.836,spotify:track:6AgLck54Q7UMolf5WASUEx
0.491,0.144,0.0476,0.7,0.779,spotify:track:3QQhhSRe31x9qs1NqlOuOS
0.458,0.0816,0.0629,0.859,0.955,spotify:track:57Mdhv9qUMwWtqlDEnDV7n
0.539,0.103,0.208,0.829,0.388,spotify:track:7xQAfvXzm3AkraOtGPWIZg
0.752,0.112,0.0352,0.604,0.756,spotify:track:5a008ecFPEypprh1yOg1bM
0.867,0.911,0.0498,0.662,0.678,spotify:track:15475SXNlwYzXcNPdhGh4L
0.61,0.107,0.144,0.477,0.358,spotify:track:6CTWathupIiDs7U4InHnDA
0.769,0.104,0.123,0.726,0.733,spotify:track:3B54sVLJ402zGa6Xm4YGNe
0.317,0.0881,0.334,0.778,0.327,spotify:track:6ocbgoVGwYJhOv1GgI9NsF
0.658,0.237,0.0558,0.602,0.268,spotify:track:5OCJzvD7sykQEKHH7qAC3C
0.713,0.294,0.0594,0.699,0.354,spotify:track:2qT1uLXPVPzGgFOx4jtEuo
0.62,0.182,0.0535,0.805,0.874,spotify:track:0VqeIsAhuznrKJbLEBL22E
0.716,0.0735,0.0449,0.813,0.96,spotify:track:0Ap6W12joazSUDK8cZXeWk
0.836,0.0415,0.0357,0.68,0.964,spotify:track:7x1goCkDzkypSiBz9AWnbp
0.782,0.101,0.0475,0.548,0.503,spotify:track:6XtaU8cy3MH3h8CSGN9hRO
0.764,0.0503,0.214,0.668,0.691,spotify:track:6V5DQrWqqMYfJL69FEv86o
0.88,0.99,0.0505,0.468,0.395,spotify:track:0y1Cn8jcLCr5fJvvO35zuN
0.67,0.338,0.0473,0.588,0.505,spotify:track:5N4erncE7kuUccm7zEmwzk
0.768,0.426,0.0451,0.771,0.607,spotify:track:29R1IMTTbDDA3VNlk6UEW5
0.665,0.319,0.145,0.879,0.672,spotify:track:4DJORZgsbqnEJ4f4B9TBGV
0.964,0.0578,0.0458,0.574,0.644,spotify:track:3FXo3xKG3aYV3hvdRzUY61
0.93,0.102,0.0477,0.57,0.925,spotify:track:5HOkVB35cz5nK6ZeRj0xM6
0.733,0.129,0.0399,0.723,0.701,spotify:track:6eNPM8wzuDpqBChGlu93Od
0.662,0.0246,0.0472,0.859,0.915,spotify:track:3JBxvaIwVEpYtjpbt3ZjqD
0.88,0.0417,0.0889,0.713,0.963,spotify:track:0KuDeGUXh5QQ7gSiB6KGPh
0.769,0.108,0.0872,0.566,0.385,spotify:track:5sbooPcNgIE22DwO0VNGUJ
0.834,0.194,0.0738,0.679,0.388,spotify:track:4ZZv3yy9JVAo4V2qUlLRNb
0.773,0.404,0.0586,0.667,0.667,spotify:track:4zYTZvtcww7OWKie7fxA9E
0.523,0.0914,0.0423,0.795,0.855,spotify:track:5dNfHmqgr128gMY2tc5CeJ
0.642,0.0991,0.111,0.532,0.536,spotify:track:2Imq77E6CEJR5TPUxlJvTY
0.779,0.078,0.0531,0.561,0.235,spotify:track:0At2qAoaVjIwWNAqrscXli
0.314,0.0825,0.244,0.671,0.296,spotify:track:3kfxarilcBr81mb2hmZLeh
0.929,0.0921,0.185,0.767,0.923,spotify:track:6yf3MxEOScNBTYCHOAIiNQ
0.862,0.179,0.0973,0.616,0.569,spotify:track:5sAlmL7Qp9N9BJTADkwEt9
0.699,0.301,0.174,0.625,0.789,spotify:track:2wc8HF4fqX4oPBuZnadO8t
0.589,0.161,0.161,0.735,0.291,spotify:track:6wR0JwhfCOcFH7BsPQLGCD
0.831,0.6,0.0909,0.711,0.653,spotify:track:5EzaAqVMIcq1iT7t9e6a3Y
0.897,0.564,0.312,0.825,0.546,spotify:track:092FQL8X88YDgPN4evAbQc
0.827,0.825,0.0627,0.727,0.681,spotify:track:1bLVsavnUruupOI0Pxdm6I
0.939,0.298,0.161,0.671,0.529,spotify:track:4QNpBfC0zvjKqPJcyqBy9W
0.758,0.341,0.158,0.673,0.542,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl
0.855,0.335,0.0499,0.669,0.648,spotify:track:62zFEHfAYl5kdHYOivj4BC
0.802,0.694,0.0582,0.72,0.723,spotify:track:2bJvI42r8EF3wxjOuDav4r
0.895,0.0501,0.0589,0.792,0.794,spotify:track:4QtiVmuA88tPQiCOHZuQ5b
0.609,0.139,0.0791,0.918,0.304,spotify:track:0CAfXk7DXMnon4gLudAp7J
0.869,0.064,0.0327,0.616,0.473,spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y
0.89,0.306,0.0688,0.706,0.684,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8
0.906,0.423,0.0965,0.765,0.95,spotify:track:0U6bQIAh6MCGo1xjbIIx2S
0.66,0.192,0.123,0.703,0.79,spotify:track:0YammaEkYSeo9vQYZ1OwS6
0.627,0.131,0.0486,0.813,0.801,spotify:track:3mQOoBONOh6vnP51eMgWnP
0.87,0.0705,0.0868,0.62,0.513,spotify:track:1SQGx4GPml33ywGdNDMuBg
0.91,0.662,0.107,0.625,0.328,spotify:track:1HatDJFG5sqEQSh1G1LVdk
0.803,0.153,0.0797,0.818,0.632,spotify:track:2gFvRmQiWg9fN9i74Q0aiw
0.56,0.0944,0.0406,0.853,0.86,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
0.798,0.0232,0.0718,0.741,0.939,spotify:track:5XMkENs3GfeRza8MfVAhjK
0.692,0.324,0.0431,0.874,0.937,spotify:track:55h7vJchibLdUkxdlX3fK7
0.834,0.355,0.0437,0.751,0.894,spotify:track:6naxalmIoLFWR0siv8dnQQ
0.824,0.405,0.0712,0.778,0.756,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
0.74,0.0468,0.0786,0.736,0.803,spotify:track:66TRwr5uJwPt15mfFkzhbi
0.694,0.148,0.027,0.689,0.482,spotify:track:47BBI51FKFwOMlIiX6m8ya
0.853,0.268,0.0363,0.731,0.605,spotify:track:1di1BEgJYzPvXUuinsYJGP
0.736,0.265,0.156,0.751,0.352,spotify:track:7mitXLIMCflkhZiD34uEQI
0.861,0.191,0.316,0.707,0.795,spotify:track:70Vdd1gx5tn84jkAU31ASv
0.841,0.133,0.0391,0.743,0.814,spotify:track:4PVm8e67skz8B8wiJP2kwk
0.666,0.101,0.033,0.486,0.741,spotify:track:57Xjny5yNzAcsxnusKmAfA
0.852,0.0935,0.046,0.425,0.512,spotify:track:2avKuMN2QXkaG9vvHa2JLt
0.626,0.0741,0.0467,0.0993,0.0399,spotify:track:3jevgr3fYdv9wYO3IDJq2a
0.598,0.111,0.0377,0.498,0.0573,spotify:track:1FpVJ7HpZInE2GvhVE2TwT
0.851,0.237,0.0645,0.365,0.309,spotify:track:1sWeSMifj6Z6kZyI6z3bRc
0.663,0.0621,0.1,0.459,0.412,spotify:track:69Sy7207dnixZ6w7RSV9Kb
0.919,0.436,0.0725,0.256,0.358,spotify:track:1jCPzDzUzhCVX75KLqrzCw
0.864,0.209,0.0584,0.556,0.4,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
0.863,0.639,0.0381,0.496,0.243,spotify:track:2nLtzopw4rPReszdYBJU6h
0.86,0.351,0.0687,0.366,0.276,spotify:track:2TpIrrYN70VjU651xOsJzJ
0.92,0.111,0.0983,0.336,0.285,spotify:track:7ixYgkcd8aptv5bBAmQXYF
0.956,0.114,0.0923,0.407,0.335,spotify:track:2hMng3Va9y65zNzKefarHh
0.861,0.082,0.109,0.663,0.654,spotify:track:4356Typ82hUiFAynbLYbPn
0.937,0.29,0.0453,0.747,0.739,spotify:track:3bC1ahPIYt1btJzSSEyyrF
0.827,0.065,0.0734,0.657,0.69,spotify:track:26rdOwwjC2UnweK3xeS58u
0.517,0.362,0.0956,0.906,0.865,spotify:track:7KGCxMqo5tFOh4L0Dak77B
0.873,0.205,0.312,0.817,0.833,spotify:track:2avLy2UEkyspRWPn5ChB78
0.543,0.0733,0.148,0.8,0.54,spotify:track:6ob14W21v01kniUbQL9vU7
0.833,0.121,0.0695,0.577,0.58,spotify:track:22oEJW6r2rMb9z4IntfyEa
0.683,0.155,0.262,0.642,0.584,spotify:track:5C0ivQMxes2lWuOANhvVAm
0.952,0.253,0.116,0.578,0.407,spotify:track:7I69ksN8l8NqVE3xSwpXII
0.981,0.12,0.157,0.445,0.277,spotify:track:7c6wAlGYqNn3XwubozsKix
0.974,0.352,0.224,0.468,0.177,spotify:track:1pzlpAfI4wXMmP0DmnNYcV
0.967,0.112,0.118,0.418,0.123,spotify:track:5hpqucFM1CcQTi8hmrkeHU
0.988,0.235,0.199,0.341,0.0867,spotify:track:2Crmpw81XNUXLzjcKGmZnj
0.942,0.17,0.087,0.525,0.551,spotify:track:10r2elQbrIjh1ngnfCbHu1
0.992,0.153,0.153,0.45,0.0745,spotify:track:4UR3gvZPrc2EbCTDtOPQeY
0.948,0.38,0.156,0.462,0.462,spotify:track:2vG4FD2fejeynBLThWQHLd
0.973,0.152,0.223,0.443,0.361,spotify:track:1ZGx8i5qxiVX15ekWoyYqm
0.478,0.176,0.0481,0.649,0.151,spotify:track:01JPQ87UHeGysPVwTqMJHK
0.954,0.115,0.124,0.845,0.63,spotify:track:2RMOwSvOGQyy985Vx4VSGQ
0.74,0.167,0.0284,0.64,0.785,spotify:track:6K4t31amVTZDgR3sKmwUJJ
0.54,0.127,0.11,0.596,0.579,spotify:track:5Zu4UO0QlderRYNPFkbJeO
0.68,0.151,0.234,0.703,0.596,spotify:track:3DpqHuPTyeHWEp3lN8G0oq
0.606,0.112,0.148,0.513,0.455,spotify:track:2bIrFpyw3AA2t7gNIkfmGb
0.552,0.136,0.093,0.826,0.386,spotify:track:04dhm69KcTlGgiYcTNAr0U
0.661,0.168,0.0661,0.668,0.915,spotify:track:4OcLeBfVjxjBn2LHEqHJVR
0.839,0.617,0.389,0.597,0.412,spotify:track:4NGikVnR4wpcB79gZE7tgg
0.79,0.0816,0.0756,0.949,0.807,spotify:track:4NOZ35Dhucr6UlVyLOtktd
0.903,0.259,0.0483,0.53,0.747,spotify:track:5TNhjanmvwvmjCz2WYwSAv
0.36,0.142,0.0293,0.536,0.494,spotify:track:2NxdByVvdIR4rmfT2LjrMl
0.85,0.315,0.038,0.523,0.759,spotify:track:2FAMlL4F8muLqahtABfXvG
0.819,0.36,0.0446,0.737,0.904,spotify:track:7yYsyXQa2JgbyL9fkEiUNt
0.73,0.0197,0.0809,0.826,0.605,spotify:track:2bPtwnrpFNEe8N7Q85kLHw
0.84,0.112,0.0785,0.722,0.851,spotify:track:3Uq45ipGutypFPmETfaoaH
0.842,0.0423,0.105,0.787,0.975,spotify:track:2QjEPmLRsmlTU2ThTJDlnQ
0.96,0.0559,0.295,0.724,0.826,spotify:track:0TIzjVOZzeEbxU8GGPWoSw
0.702,0.383,0.23,0.763,0.245,spotify:track:4VFld1U9CQV3PIGRfZWt9n
0.645,0.0769,0.338,0.657,0.557,spotify:track:44vL4gXYJk3ypGKQ0qowRM
0.971,0.121,0.281,0.872,0.521,spotify:track:7FiIQXpIeLo3ITfGGpb8PB
