energy,liveness,speechiness,danceability,valence,uri,genre
0.371,0.31,0.0324,0.297,0.223,spotify:track:16J8IBHqKE3wzfbZZxArdY,big room edm electro house indie poptimism pop dance pop edm tropical house
0.619,0.113,0.102,0.878,0.639,spotify:track:2YpeDb67231RjR0MgVLzsG,country rap lgbtq+ hip hop pop rap queer country
0.88,0.0828,0.0438,0.621,0.58,spotify:track:7zva8L4Db1fMCN30Y9cmJD,
0.695,0.0734,0.0894,0.777,0.652,spotify:track:2SC14LGDbRWRlyLg9Wupa0,dance pop pop
0.734,0.106,0.0588,0.842,0.952,spotify:track:4y3OI86AEP6PQoDE6olYhO,boy band dance pop pop pop dance pop rock post-teen pop
0.792,0.167,0.0452,0.687,0.671,spotify:track:2dpaYNEQHiRxtZbfNsse99,brostep edm pop pop dance progressive electro house
0.734,0.337,0.0375,0.632,0.645,spotify:track:5TOYgNohZAFEPOtnchPhZS,alternative metal alternative rock modern rock permanent wave post-grunge rock
0.828,0.122,0.0281,0.654,0.79,spotify:track:2x8evxqUlF0eRabbW2JBJd,garage rock modern rock permanent wave rock sheffield indie
0.705,0.0732,0.0832,0.623,0.49,spotify:track:0INtjcLMDnXjNB2YGe6RBT,atl hip hop
0.453,0.117,0.295,0.67,0.68,spotify:track:3yNZ5r3LKfdmjoS3gkhUCT,pop
0.852,0.247,0.0332,0.499,0.378,spotify:track:6F6gprSqvf3Hl8ZLcY3aCK,
0.751,0.0577,0.0527,0.439,0.221,spotify:track:0QfmQhr5npxuWQ4zzUDUhB,channel pop indie cafe pop pop post-teen pop viral pop
0.758,0.303,0.0371,0.288,0.619,spotify:track:2AT8iROs4FQueDv2c8q2KE,garage rock modern rock permanent wave rock sheffield indie
0.472,0.397,0.0353,0.653,0.448,spotify:track:5A7eooPKJHtr0UJmatjH4a,album rock art rock classic rock progressive rock psychedelic rock rock symphonic rock
0.0457,0.0991,0.0344,0.617,0.0967,spotify:track:7K6xMPtAjTuLPNlJMLf5bS,album rock art rock classic rock progressive rock psychedelic rock rock symphonic rock
0.394,0.247,0.0428,0.694,0.719,spotify:track:3fuXKiEzDCs1IBnLHQ5CL0,album rock art rock classic rock progressive rock psychedelic rock rock symphonic rock
0.54,0.0945,0.0287,0.759,0.75,spotify:track:0TK2YIli7K1leLovkQiNik,canadian pop dance pop pop post-teen pop viral pop
0.619,0.105,0.162,0.739,0.58,spotify:track:5lNuqFVMca4vPupY10cH0J,dance pop edm electro house electropop pop pop dance pop edm pop rap post-teen pop tropical house
0.605,0.136,0.0492,0.745,0.164,spotify:track:2MX30RliaxJDgmQ3C3rrJX,pop pop rap
0.499,0.213,0.0311,0.572,0.108,spotify:track:1JCCdiru7fhstOIF4N7WJC,boy band dance pop pop post-teen pop
0.897,0.612,0.0488,0.434,0.684,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,pop punk punk socal pop punk
0.854,0.124,0.463,0.596,0.152,spotify:track:55S2PQgSMYAhgoTCcGCDfw,boy band dance pop pop post-teen pop
0.826,0.286,0.0892,0.689,0.613,spotify:track:3hySeWiuSYBnF3dItYG82i,francoton french pop
0.608,0.635,0.0659,0.806,0.849,spotify:track:1huvTbEYtgltjQRXzrNKGi,pop uk pop
0.787,0.58,0.401,0.714,0.131,spotify:track:4dfAUJI1QesmK5HfK9gtYs,detroit hip hop hip hop rap
0.753,0.268,0.239,0.49,0.325,spotify:track:4XaButfzRGK9aK8NN28Ie0,modern alternative rock modern rock rebel blues
0.893,0.0905,0.0532,0.56,0.174,spotify:track:3H3nKeXkD84Us8t9IDbKua,alternative metal groove metal nu metal
0.505,0.104,0.117,0.489,0.337,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,icelandic indie icelandic rock modern alternative rock modern rock
0.533,0.0926,0.0416,0.707,0.472,spotify:track:0EYKD5N0mldDeVTCzCfzqr,channel pop indie cafe pop neo mellow viral pop
0.736,0.061,0.0354,0.591,0.644,spotify:track:31hUonEmUsEVd0FMRv1s5r,la indie modern alternative rock modern rock pop rock rock stomp pop
0.648,0.0518,0.0628,0.762,0.573,spotify:track:0kEHfqcjohHAZe3JL1KP1S,
0.627,0.118,0.156,0.666,0.395,spotify:track:0FhhskIAZ5JiNBh2sP7Aza,dance pop electropop pop dance post-teen pop viral pop
0.611,0.0812,0.0409,0.704,0.22,spotify:track:2FY7b99s15jUprqC0M5NCT,modern rock pop rock
0.867,0.458,0.103,0.491,0.602,spotify:track:76vMKwFtdDDCLcM6zXybjB,baroque pop emo modern rock
0.897,0.386,0.0723,0.56,0.419,spotify:track:74umfJRsOt65LjGGZ2iW5m,alternative metal funk metal nu metal rap metal rap rock
0.918,0.316,0.0659,0.557,0.403,spotify:track:4gpfV27daqpPRzsLUGzDRk,
0.833,0.105,0.0563,0.574,0.574,spotify:track:7Fv8Qp3tTSbSS2VjryUF7L,modern alternative rock modern rock
0.659,0.459,0.0277,0.638,0.665,spotify:track:5XeIQO9gGkGo54naYVVeJP,pop argentino
